客户端/服务端 使用,C,C,C,C
字段名,Key,FlowListId,Id,Text
字段数据类型,Long,String,Int,String
该字段是否用于条件筛选,1,1,1,0
是否导出多语言,0,0,0,1
条件检查,,,,
默认值,,,,
#,主键,剧情名,文本Id,文本内容
,54748662900000002,流程_PlayCustomSeq,2,说点什么吧！
,54748662900000003,流程_PlayCustomSeq,3,和你有啥好说的：）
,54748662900000004,流程_PlayCustomSeq,4,今天天气不错！
,54748662900000005,流程_PlayCustomSeq,5,出去玩玩看？
,54748662900000006,流程_PlayCustomSeq,6,去公园
,54748662900000007,流程_PlayCustomSeq,7,去游乐场
,54748662900000008,流程_PlayCustomSeq,8,好的，公园走起！
,54748662900000009,流程_PlayCustomSeq,9,好的，游乐场走起！
,54748662900000010,流程_PlayCustomSeq,10,出去玩吗?
,54748662900000011,流程_PlayCustomSeq,11,好呀!
,54748662900000012,流程_PlayCustomSeq,12,没兴趣
,54748662900000013,流程_PlayCustomSeq,13,你想去火星还是去月球?
,54748662900000014,流程_PlayCustomSeq,14,去火星
,54748662900000015,流程_PlayCustomSeq,15,去月球
,54748662900000016,流程_PlayCustomSeq,16,让我再想想
,54748662900000017,流程_PlayCustomSeq,17,咱们准备去【火星】玩一玩，准备好了吗?
,54748662900000018,流程_PlayCustomSeq,18,啊，我好像没带脑子
,54748662900000019,流程_PlayCustomSeq,19,准备好了，出发！
,54748662900000020,流程_PlayCustomSeq,20,那坐好了，出发！
,54748662900000021,流程_PlayCustomSeq,21,咱们准备去【月球】逛一逛，准备好了吗?
,54748662900000022,流程_PlayCustomSeq,22,啊，我好像没带脑子
,54748662900000023,流程_PlayCustomSeq,23,准备好了，出发！
,54748662900000024,流程_PlayCustomSeq,24,那坐好了，月球在向我们招手！
,54748662900000025,流程_PlayCustomSeq,25,不知您对这次旅行感受如何呀？
,54748662900000026,流程_PlayCustomSeq,26,非常不错呀！
,54748662900000027,流程_PlayCustomSeq,27,一般般了，再见！
,54748662900000028,流程_PlayCustomSeq,28,那您还想再来一次吗？
,54748662900000029,流程_PlayCustomSeq,29,好呀！
,54748662900000030,流程_PlayCustomSeq,30,算了！
