客户端/服务端 使用,C,C,C,C,C
字段名,Key,FlowListId,Id,Text,Sound
字段数据类型,Long,String,Int,String,String
该字段是否用于条件筛选,1,1,1,0,0
是否导出多语言,0,0,0,1,0
条件检查,,,,,
默认值,,,,,
#,主键,剧情名,文本Id,文本内容,声音
,160884244700000001,流程_关键NPC,1,你是哪位？,
,160884244700000002,流程_关键NPC,2,不好意思，我找错人了~,
,160884244700000003,流程_关键NPC,3,我想出村，据说要到你这里找通行证？,
,160884244700000004,流程_关键NPC,4,是的，最近世道不太平，你还是待在村里吧！,
,160884244700000005,流程_关键NPC,5,好吧，我在村里玩玩！,
,160884244700000006,流程_关键NPC,6,不行，村长大人帮忙通融一下！,
,160884244700000007,流程_关键NPC,7,既然你这强烈的要求，那就要证明一下你的实力。,
,160884244700000008,流程_关键NPC,8,Emmmm，我看还是算了~,
,160884244700000009,流程_关键NPC,9,好呀！好呀！,
,160884244700000010,流程_关键NPC,10,你去找一下村里的王大妈，她好像有事情需要帮忙。,
,160884244700000011,流程_关键NPC,11,王大妈好像有事情需要帮忙，你去找找她！,
,160884244700000012,流程_关键NPC,12,有了家庭和小孩，不得不放弃年少的梦想~,
,160884244700000013,流程_关键NPC,13,我家儿子二狗出去玩还没回来，真是急死个人！,
,160884244700000014,流程_关键NPC,14,等会他应该就回来了！,
,160884244700000015,流程_关键NPC,15,我帮你去找他吧！,
,160884244700000016,流程_关键NPC,16,真是太感谢你了！,
,160884244700000017,流程_关键NPC,17,你找到我家【二狗】了吗？,
,160884244700000018,流程_关键NPC,18,他人笑我太疯癫，我笑他人看不穿~,
,160884244700000019,流程_关键NPC,19,你慢慢看吧~,
,160884244700000020,流程_关键NPC,20,你知道村长在哪里吗？,
,160884244700000021,流程_关键NPC,21,少年，远在天边，近在眼前呀！,
,160884244700000022,流程_关键NPC,22,好吧，我再找找！,
,160884244700000023,流程_关键NPC,23,这里的地面好奇怪~,
,160884244700000024,流程_关键NPC,24,我前面那个板子，数字好像可以变化。。。,
,160884244700000025,流程_关键NPC,25,你不是在说梦话吧~,
,160884244700000026,流程_关键NPC,26,好像是的哦！,
,160884244700000031,流程_关键NPC,31,我的幸运数字是【13】,
,160884244700000032,流程_关键NPC,32,好想让那个屏幕显示我的幸运数字啊！,
,160884244700000033,流程_关键NPC,33,嗯，或许我能帮你~,
,160884244700000034,流程_关键NPC,34,你自己去调一下不就行了！,
,160884244700000035,流程_关键NPC,35,少年，你好厉害，我冥思苦想好久的问题，居然被你解决了！,
,160884244700000036,流程_关键NPC,36,真是英雄出少年呀！,
,160884244700000037,流程_关键NPC,37,他人笑我太疯癫，我笑他人看不穿~,
,160884244700000038,流程_关键NPC,38,不见五陵豪杰墓，无花无酒锄作田！,
,160884244700000040,流程_关键NPC,40,那个不容易的，我想了好久都找不到解决办法！,
,160884244700000042,流程_关键NPC,42,儿子外出打工未归，留守老人不易~,
,160884244700000043,流程_关键NPC,43,少年，看你相貌不凡，能否帮老人家做点事~,
,160884244700000044,流程_关键NPC,44,老人家，你眼花啦！,
,160884244700000045,流程_关键NPC,45,好呀，乐意为您效劳：）,
,160884244700000046,流程_关键NPC,46,你可以帮我把院子里的垃圾清理一下嘛？,
,160884244700000047,流程_关键NPC,47,没问题！,
,160884244700000048,流程_关键NPC,48,太脏了，没法搞~,
,160884244700000049,流程_关键NPC,49,你不厚道！,
,160884244700000050,流程_关键NPC,50,少年，院子里的垃圾需要你帮忙清理一下哦！,
,160884244700000051,流程_关键NPC,51,太感谢你了，你是个好人！,
,160884244700000052,流程_关键NPC,52,这是我应该做的！,
,160884244700000053,流程_关键NPC,53,那不是你强烈要求嘛~,
,160884244700000054,流程_关键NPC,54,虽然儿子不在家，但有好心人（你）的帮忙，日子也不算差！,
