客户端/服务端 使用,C,C,C,C,C
字段名,Key,FlowListId,Id,Text,Sound
字段数据类型,Long,String,Int,String,String
该字段是否用于条件筛选,1,1,1,0,0
是否导出多语言,0,0,0,1,0
条件检查,,,,,
默认值,,,,,
#,主键,剧情名,文本Id,文本内容,声音
,99175432800000001,流程_守卫,1,你想干嘛,
,99175432800000002,流程_守卫,2,按错了,
,99175432800000003,流程_守卫,3,开门,
,99175432800000004,流程_守卫,4,关门,
,99175432800000005,流程_守卫,5,小伙子想出城？,
,99175432800000006,流程_守卫,6,Emmm，我再四处逛逛~,
,99175432800000007,流程_守卫,7,对呀，这个门怎么开？,
,99175432800000008,流程_守卫,8,门我可以帮你开，但必须要得到村长的许可。,
,99175432800000009,流程_守卫,9,最近城中不太平，特殊时期，特殊处理哦~,
,99175432800000010,流程_守卫,10,村长在哪里？,
,99175432800000011,流程_守卫,11,好的，我知道了！,
,99175432800000012,流程_守卫,12,你朝【水池】的方向，一直走，就可以看到他了！,
,99175432800000013,流程_守卫,13,感谢！,
,99175432800000014,流程_守卫,14,你拿到许可了吗？,
,99175432800000015,流程_守卫,15,嗯，没有，我再找村长问问。,
,99175432800000016,流程_守卫,16,村长在哪里？,
,99175432800000017,流程_守卫,17,你朝【水池】的方向，一直走，就可以看到他了！,
