客户端/服务端 使用,C,C,C,C,C
字段名,Key,FlowListId,Id,Text,Sound
字段数据类型,Long,String,Int,String,String
该字段是否用于条件筛选,1,1,1,0,0
是否导出多语言,0,0,0,1,0
条件检查,,,,,
默认值,,,,,
#,主键,剧情名,文本Id,文本内容,声音
,99185416500000001,流程_村民,1,怎么样才能让世界和平呢！,
,99185416500000002,流程_村民,2,程心和云天明最后能相见吗？,
,99185416500000003,流程_村民,3,鸡你太美！,
,99185416500000004,流程_村民,4,新冠啥时候结束?,
,99185416500000005,流程_村民,5,今年看起来能有个好收成~,
,99185416500000006,流程_村民,6,Emmm，你真有才！,
,99185416500000007,流程_村民,7,你知道村长在哪里吗？,
,99185416500000008,流程_村民,8,鸡不可失！,
,99185416500000010,流程_村民,10,。。。,
,99185416500000011,流程_村民,11,唧唧复唧唧~,
,99185416500000012,流程_村民,12,木兰当户织~,
,99185416500000013,流程_村民,13,打扰了！,
,99185416500000014,流程_村民,14,小伙子有诗人的潜力：）,
,99185416500000015,流程_村民,15,你看到二狗了吗？,
,99185416500000016,流程_村民,16,诗在远方，路在脚下！,
,99185416500000017,流程_村民,17,刚刚我看到他往我身后去了！,
,99185416500000018,流程_村民,18,我知道你要问我二狗去哪里了~,
,99185416500000019,流程_村民,19,我也不知道，但是刚刚我看到他往我身后去了。,
,99185416500000020,流程_村民,20,唧唧复唧唧~,
,99185416500000021,流程_村民,21,大树底下好乘凉,
,99185416500000022,流程_村民,22,如果我是一棵树就好了~,
,99185416500000023,流程_村民,23,你是树，我就化作一团火：）,
,99185416500000024,流程_村民,24,你想法有些奇怪,
,99185416500000025,流程_村民,25,二狗经常在水池这边玩，但刚刚我没有看到他~,
,99185416500000026,流程_村民,26,谢谢你！,
,99185416500000027,流程_村民,27,你有看到二狗吗？,
,99185416500000028,流程_村民,28,你帮王大妈找到儿子，真是一个不错的小伙呢！,
,99185416500000029,流程_村民,29,你停下来思考吧~,
,99185416500000030,流程_村民,30,还是一边走一遍思考吧~,
,99185416500000031,流程_村民,31,游戏打多了，还是要多出去走走看看！,
,99185416500000032,流程_村民,32,都说塑料姐妹情，我觉得我和我的闺蜜感情很深呢！,
,99185416500000033,流程_村民,33,对面那家伙太小气了，每次吃饭出去都要我请。,
,99185416500000034,流程_村民,34,不想和她做朋友了！,
,99185416500000035,流程_村民,35,这个我也不知道呀！,
,99185416500000036,流程_村民,36,夫妻吵架是小事，不吵架才有事！,
,99185416500000037,流程_村民,37,我老婆老找我吵，工作的事情已经够烦心了。,
,99185416500000038,流程_村民,38,回家还要来安慰她的情绪！,
